id,Plats,attack,Typ,Datum,Beskrivning,lat,lon
143,Bodekullsgatan,1,Bulle/bullar med vasst föremål,2023-01-09,Degbullar med metallbitar klippta i kors,55.5934038,13.0213535
145,Bodekullsgatan ,1,Bulle/bullar med vasst föremål,2023-01-10,Degbullar metallbitar klippta i kors,55.5934038,13.0213535
146,Spånehusvägen,1,Bulle/bullar med vasst föremål,2023-01-10,Degbullar med röda metallbitar klippta i kors,55.59472893440326,13.021091202002694
147,Torekovsgatan,1,Bulle/bullar med vasst föremål,2023-01-10,Degbullar med metallbitar klippta i kors,55.592386584137984,13.02252860069508
148,Östra Farmvägen 29,1,Bulle/bullar med vasst föremål,2023-01-10,Degbullar med metallbitar klippta i kors,55.59281738593011,13.026865700643896
149,Ribersborgsstigen,1,Bulle/bullar med vasst föremål,2023-01-11,Mörkt bröd med metallbitar i,55.59938668409546,12.95707827179516
150,Baltiska Vägen,1,Bulle/bullar med vasst föremål,2023-01-16,Pildamsparken,55.59285293056829,12.996006509924916
151,Pildammsparken ,1,Bulle/bullar med vasst föremål,2023-01-16,Pildammsparken,55.590089886016216,12.988787316060023
152,Pildammsparken/Annebergsgatan,1,Bulle/bullar med vasst föremål,2023-01-16,Degbullar med glas och metallbitar i,55.58621542914677,12.995001820125058
153,Pildammsparken/Annebergsgatan,1,Bulle/bullar med vasst föremål,2023-01-16,Degbullar med glas och metallbitar i,55.58621542914677,12.995001820125058
154,Annebergsgatan 5A,1,Bulle/bullar med vasst föremål,2023-01-16,Degbullar med metallbitar i,55.5855636,12.9950455
155,Borgmästaregården,1,Bulle/bullar med vasst föremål,2023-01-16,Hund spottade ut degbulle med metallbitar,55.5841446,12.9974775
156,Pildammsparken,1,Bulle/bullar med vasst föremål,2023-01-16,Hund åt något från marken vid utegymmet,55.588912156521346,12.987896405275443
158,Gustav Adolfs Torg 3,1,Bulle/bullar med vasst föremål,2023-01-25,Degbullar med metallbitar i,55.6024718,12.9988577
164,Sallerupsvägen,1,Bulle/bullar med vasst föremål,2023-04-10,"Flera brödbullar utslängda på gång/cykelbana invid Sallerupsvägen, en bulle innanför stängslet till kyrkogården ",55.59720826786454,13.050346541334367
165,Eriksfältsgatan/Cykelbana,1,Bulle/bullar med vasst föremål,2023-04-18,"Nio bullar, minst en med metallstjärna i, slängda på cykelbana i tunnel under Eriksfältsgatan",55.56464119784732,13.021527462892063
166,Ögårdsparken,1,Bulle/bullar med vasst föremål,2023-12-28,"En kvinna i 75-årsåldern som setts placera ut föremål på marken blir gripen av polis, i en behållare hade hon glasbitar och degklumpar",55.57393596913416,13.055040716735599
167,Pildammsparken,1,Bulle/bullar med vasst föremål,2024-01-19,Ett trettiotal små brödbullar med ”rakblad” i hittades av kvinna som rastade sin hund,55.59311,12.99359
168,Baskemöllegatan 6A,1,Bulle/bullar med vasst föremål,2024-01-28,Bullarna hittades vid en buske vid åtta-nio-tiden,55.591839,13.026662
169,Torekovsgatan,1,Bulle/bullar med vasst föremål,2024-01-29,Bullen hittades längs ett staket vid ett grönområde,55.593852,13.024256
170,"Uppsalagatan (båda trottoarerna), trottoarerna längs Upplandsplan, Upplandsgatan, trottoaren på Värmlandsgatan, innergård på Värmlandsgatan, trottoaren Värmlandsplan, parken vid Värmlandsplan, trottoaren Flensburgsgatan.",1,Bulle/bullar med vasst föremål,2024-01-29,Hund skadad på Värmlandsgatan – svalde två stjärnor • Aldrig tidigare har det hittats så många bullar spritt över ett par kvarter,55.585521832877575,13.00568162248118
171,Gångtunneln under Sallerupsvägen,1,Bulle/bullar med vasst föremål,2024-02-05,Tjugotal brödbullar hittade vid gångtunnel under Sallerupsvägen,55.597382,13.050665
172,Cykelbron över inre ringvägen vid trafikplats Fosieby,1,Bulle/bullar med vasst föremål,2024-02-09,"Omkring 30 bullar med metall i hittas på Hermodsdal, på bron över Inre Ringvägen mot Lindängen och i gångtunneln mot Gullviksborg",55.56405188335233,13.020376451617091
173,Gångtunneln mellan Hermodsdal och Gullviksborg,1,Bulle/bullar med vasst föremål,2024-02-09,10-tal bullar hittas i gångtunneln,55.56462281682401,13.021534961298347
174,Lugna gatan,1,Bulle/bullar med vasst föremål,2024-02-13,Fem bullar hittade utanför ett flerfamiljshus på Lugna gatan,55.59878646486857,13.004844337227626
175,"Gångtunneln under Föreningsgatan, August Palms plats",1,Bulle/bullar med vasst föremål,2024-02-13,Roisin Kenny hittade 26 bullar i och nära gångtunneln vid Stadshuset,55.59813106561184,13.006670741016798
176,Gångtunnel Kungsgatan,1,Bulle/bullar med vasst föremål,2024-02-16,"Ett 20-tal bullar med metallföremål i hittade på Kungsgatan, vid gångtunneln under Amiralsgatan",55.60081500119346,13.007324635250141
177,Gångtunnel Nobelvägen/Lönngatan,1,Bulle/bullar med vasst föremål,2024-02-20,Mellan 40 och 50 bullar hittades i gångtunneln Nobelvägen-Lönngatan,55.586908,13.011234
178,Gångtunnel Munkhättegatan-Rödkullastigen.,1,Bulle/bullar med vasst föremål,2024-02-26,Fem bullar med metall inuti hittades i gångtunneln Munkhättegatan-Rödkullastigen,55.576468,13.016584
179,Gångtunnel Sallerupsvägen,1,Bulle/bullar med vasst föremål,2024-03-05,50-tal bullar med metallföremål hittades i gångtunneln,55.597213,13.05058
180,Pildammsparken,1,Bulle/bullar med vasst föremål,2024-03-13,Ett 30-tal bullar med metallföremål hittade i Pildammsparken,55.587745,12.991694
